Benchmark results — 2026-04-17 00:27:55
Time in milliseconds

=== MSORT ===
Input                     T=1      T=2      T=3      T=4      T=5      T=8     T=10
-----------------------------------------------------------------------------------
N=1_000_000                74       44       35       27       22       22       21
N=2_000_000               150       81       78       59       80       41       51
N=3_000_000               240      149       93       77       69       57       62
N=5_000_000               407      216      155      128      158      118      106
N=7_000_000               645      385      257      263      300      237      161
N=8_000_000               687      375      278      204      182      203      164
N=9_000_000               770      395      284      228      272      199      180
N=10_000_000              851      483      316      295      239      222      218
N=20_000_000             1798      985      679      626      498      445      451
N=30_000_000             2849     1517     1060     1083      847      877      765
